Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,1.2288568883112228e-05,2.014894523583166e-05,2.1136593888674887e-05,0.0001962837539522777,4.192515837299371e-07,3.89332622544574e-06,3.009600060854943e-11,2.794283995860136e-10,6.483608496544413e-07,0.00035512067901743766,1.28603628213606e-08,7.043887335218131e-06,99.00086805779317
0,0,3,0,2.4331169562334813e-05,3.989459146680474e-05,2.092491936837047e-05,0.00019432091391224915,4.150591671126075e-07,3.854392645057412e-06,4.48432588440301e-11,4.1634699867974063e-10,9.676867077245732e-07,0.0005300220716695848,1.9194251803041332e-08,1.0513089643152568e-05,49.25233685979765
0,0,5,0,3.613129969042527e-05,5.9242676115900395e-05,2.0715211948107998e-05,0.00019237770105989013,4.1090872278138137e-07,3.815848283424393e-06,5.939322869890644e-11,5.514429763015024e-10,1.2838193001774767e-06,0.0007031744465411587,2.546480046459211e-08,1.394759914459546e-05,32.6702395019679
0,0,7,0,4.769241543592633e-05,7.819886851834212e-05,2.0507455015234047e-05,0.00019045391914791364,4.0679983000871606e-07,3.7776892786810015e-06,7.37482751868905e-11,6.847372223584001e-10,1.5967905572988619e-06,0.0008745952925116138,3.167264192412396e-08,1.7347762611461825e-05,24.379748972198
0,0,9,0,5.901793197845972e-05,9.676877066766565e-05,2.030163207702753e-05,0.0001885493738911098,4.0273207235217884e-07,3.7399117961147556e-06,8.791073678830604e-11,8.162433835025431e-10,1.9066320901404506e-06,0.0010443019236093308,3.781840303061844e-08,2.071392338193449e-05,19.405899822231554
0,0,11,0,7.011122389176039e-05,0.0001149579179156035,2.0097726754313204e-05,0.0001866638729466966,3.987050375145447e-07,3.702512033743736e-06,1.0188292669172841e-10,9.459891807910972e-10,2.2133751937140924e-06,0.0012123114807611006,4.390270440798565e-08,2.4046421384595572e-05,16.09037020112906
0,0,13,0,8.097562557586077e-05,0.0001327717796115735,1.9895722812111578e-05,0.00018479722589507,3.947183172871511e-07,3.665486224332779e-06,1.1566713195584645e-10,1.0739915420548529e-09,2.517050850156086e-06,0.0013786409335252883,4.9926160506695484e-08,2.7345593166705986e-05,13.722450833487686
0,0,15,0,9.161443167505889e-05,0.000150215759855854,1.9695604127776488e-05,0.00018294924422041143,3.9077150763205515e-07,3.6288306362009006e-06,1.2926561487652687e-10,1.2002850249582173e-09,2.817689731844936e-06,0.0015433070817994928,5.5889379658510826e-08,3.0611771924183965e-05,11.946787003274554
0,0,17,0,0.00010203089748706143,0.00016729519812130889,1.9497354722241218e-05,0.00018111974129182825,3.8686420852482387e-07,3.5925415735122684e-06,1.4268061236437633e-10,1.3248862911996091e-09,3.115322204494232e-06,0.0017063265575145822,6.17929641328385e-08,3.384528753246963e-05,10.565959476032068
0,0,19,0,0.00011222823942056935,0.0001840153700456426,1.9300958722818315e-05,0.00017930853234430838,3.829960239608947e-07,3.5566153763132928e-06,1.5591433653490625e-10,1.4478118714035252e-09,3.4099783302301455e-06,0.0018677158263203013,6.763751019371304e-08,3.704646657773618e-05,9.461516697758364
